"x" "y" "logT"
"1" 14.285 31.124 -4.6839
"2" 7.445 29.523 -3.3692
"3" 16.74 26.145 -6.6023
"4" 24.145 25.825 -6.5535
"5" 16.702 21.738 -4.0191
"6" 13.613 21.452 -4.45
"7" 19.891 21.245 -7.0115
"8" 15.663 20.691 -4.1296
"9" 9.404 20.472 -3.5412
"10" 16.729 19.968 -6.9685
"11" 16.754 19.623 -6.4913
"12" 15.283 19.61 -5.7775
"13" 16.758 19.226 -6.1903
"14" 16.758 19.097 -6.4003
"15" 16.762 18.763 -6.5705
"16" 16.388 18.656 -6.1149
"17" 12.103 18.42 -3.5571
"18" 16.715 18.402 -6.2964
"19" 18.334 18.303 -6.8804
"20" 16.442 18.128 -6.029
"21" 15.67 18.095 -6.2005
"22" 7.003 17.606 -2.9136
"23" 16.748 17.339 -5.6089
"24" 15.36 16.798 -6.4842
"26" 18.222 16.777 -4.9271
"27" 18.365 15.574 -4.5057
"28" 11.721 15.321 -5.6897
"29" 13.643 15.191 -7.0354
"30" 0 15.138 -2.9685
"31" 15.399 14.927 -5.996
"32" 16.21 14.493 -6.5213
"33" 18.737 13.957 -6.6361
"34" 16.945 13.91 -5.9685
"35" 20.042 11.896 -6.7132
"36" 11.143 11.092 -2.8125
"37" 25.994 8.917 -7.1234
"38" 9.481 5.903 -3.2584
"39" 17.008 4.705 -3.9019
"40" 17.972 3.898 -4.335
"41" 11.702 0 -5.0547
